Accessories,Body Color,Body Material,Body Type,Brand,Bundle Description,Color,Condition,Country of Manufacture,Country/Region of Manufacture,Custom Bundle,Dexterity,Features,Fingerboard,Hand,Items Included,MPN,Model,Model Year,Modification Description,Modified Item,Neck,Non-Domestic Product,Pickup,Product Line,Product Type,Right-/ Left-Handed,Serial Number,Series,Size,Soundboard Style,String Configuration,Style,Type,UPC,serial number,Price
,,,,Taylor,,,New,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,887766094371,,1599.0
,,,,Ibanez,,,"Manufacturer refurbished: An item that has been professionally restored to working order by a manufacturer or 

																			manufacturer-approved vendor. This means the product has been inspected, cleaned, and repaired to meet manufacturer specifications and is in excellent condition. This item may or may not be in the original packaging. See the seller’s listing for full details.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,,,,,,,IBS61ALBML,,,,,,,,,,,,,,,,,,4549763169341,,749.0
,WORN CHERRY,,Solid,Gibson,,,Used,,United States,,,,,,,,Les Paul Junior,2019,,,,,,Gibson Les Paul,,Right-Handed,,,,,6 String,,,,,599.99
,Wine Red Flame,,,Epiphone,,,Used,,China,No,Right-Handed,,,,,,Les Paul Standard,2015,,No,,,,Epiphone Les Paul,,,,,,,6 String,,,,,449.0
,,,,strandberg,,,Used,,,,,,,,,,,,,,,,,,,,,,,,6 String,,,,,1325.0
,Black,,Baritone,Epiphone,,,Used,,,Yes,,,,,,,Flying V,,,,,,,,,Right-Handed,,,,,6 String,,,,,600.0
,,,,Ibanez,,,Used,,,,,,,,,,,,,,,,,Ibanez Prestige,,,,,,,7 String,,,,,1250.0
,Purple,,,PRS,,,Used,,,,,With Pickup,,,,,,,,,,,,,,,,,,,7 String,,,,,550.0
,White,,,Epiphone,,,Used,,,,,,,,,,Les Paul Custom SG,,,,,,,Epiphone Les Paul,,Right-Handed,,,,,6 String,,,,,399.0
,Black,,Solid,Ibanez,,,Used,,,,,,,,,GRG131DXBKF,GRG131DX - Black Flat,,,,,,,,,,,,,,,,,,,170.5
,Blue,Rosewood,,Carvin,,,Used,,,,,,,,,,,,,,,,,CT6,,Right-Handed,,,,,6 String,,,,,1100.0
,,,Solid,Gibson,,,Used,,United States,,,,,,,Does Not Apply,Slash Signature,2013,,,,,,Gibson Les Paul,,Right-Handed,,,,,6 String,,,Does not apply,,2499.0
,,,Solid,Daisy Rock,,,Used,,,,,,,,,,,,,,,,,,,,,,,,6 String,,,,,199.99
,Red,Maple,Solid,Ibanez,,,Used,,China,,,,,,,,,2015,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,,,95.0
,White,,Semi-Hollow,Epiphone,,,Used,,,,,,,,,,Vintage,1994,,,,,,,,,,,,,6 String,,,,,640.0
,White,,Solid,Epiphone,,,Used,,,Yes,,,,,,,SG,,,,,,,Gibson SG,,Right-Handed,,,,,6 String,,,,,180.0
,,,,Gibson,,,Used,,United States,,,,,,,,L5-S,,,,,,,,,Right-Handed,,,,,6 String,,,,,3695.0
,Aqua Sparkle,,Solid,,,,Used,,United States,,,,,,,,Stratocaster FSR,2001,,,,,,,,,,,,,6 String,,,,,1895.0
,Black,,Solid,Ibanez,,,Used,,Japan,,,,,,,DT555,DT555,1985,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,2000.0
,Natural,"Solid Wood, Mahogany, Maple",Solid,Ibanez,,,Used,,Japan,,Right-Handed,,,,,,RGA121,,,,,,,Ibanez Prestige,,,,,,,6 String,,,,,499.0
,,"Agathis, Maple",,Yamaha,,,Used,,,,,,,,,PAC012,PAC012,,,,,,,,,,,,,,6 String,,,Does not apply,,123.45
,Black,,,Fender,,,Used,,United States,,,,,,,,Strat Plus Deluxe,1996,,,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,1400.0
,SUNBURST,,Solid,Squier,GUITAR AND A HARD CASE,,Used,,Indonesia,Yes,,,,,,,Classic Vibe '70s Jaguar,2013,,,,,,,,Right-Handed,,,,,6 String,,,,,370.0
,,,,Fender,,,Used,,Mexico,,,,,,,,Stratocaster Delux,2015,,No,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,435.0
,Tobacco Sunburst,,Semi-Hollow,Epiphone,,,Used,,,,,"Volume Knob, With Pickup",,,,,,2004,,,,,,Epiphone,,Right-Handed,,,Full Size,Archtop,6 String,,,,,255.0
,Vintage White (Fading),,Solid,Fender,,,Used,,Mexico,,,,,,,0134602380,Standard Stratocaster MIM,2008,,No,,,,,,Right-Handed,,,,Flat Top,6 String,,,Does not apply,,350.0
,Butterscotch Blonde,Ash,Solid,Fender,,,Used,,,,,,,,,,Telecaster Delux,2017,,,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,,,485.0
,Tobacco Burst,,Semi-Hollow,Heritage,,,Used,,United States,,,,,,,Does Not Apply,H575,2008,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,1950.0
,Sunburst,,Hollow,Harmony,,,Used,,United States,,,,,,,,H-54,1960,,,,,,,,,,,,,6 String,,,,,675.0
,,Mahogany,,Ibanez,,,Used,,,,,,,,,,JS6000,1994-1995,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,850.0
,,,Solid,B.C. Rich,,,Used,,China,,,,,,,Does Not Apply,,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,549.99
,,,Dreadnought,Alvarez By Kazuo Yairi,,,Used,,Japan,No,,With Pickup,,,,Does Not Apply,DY-52,1982,,No,,No,,,,Right-Handed,,,,,6 String,,,,,799.0
,,,Solid,Unbranded,,,Used,,,No,,,,,,Does Not Apply,,,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,80.0
,Black,,Solid,Gibson,,,Used,,United States,,,,,,,,Gibson Firebird,1992,,,,,,Firebird,,Right-Handed,,,,,6 String,,,,,1500.0
,,,,Gibson,,,Used,,,,,,,,,,Les Paul Studio,2011,,,,,,Gibson Les Paul,,Right-Handed,,,,,6 String,,,,,920.0
,Black,,,Gibson,,,Used,,,,,,,,,,,,,,,,,Gibson Les Paul,,Right-Handed,,,,,6 String,,,,,1625.0
,Black,,,Jackson,,,Used,,,,,,,,,2916677503,,,,,,,,Jackson X,,,,,,,7 String,,,,,270.0
,Blue,,Hollow,Ibanez,,,Used,,,,,,,,,,Artcore AG75,,,,,,,Ibanez Artcore,,Right-Handed,,,Full Size,,6 String,,,,,285.0
,Red,,Solid,Hofner,,,,,China,,Right-Handed,,,,,HCT-SH-RD,Shorty Travel Guitar,,,,,,,,,Right-Handed,,,TRAVEL,,6 String,,,Does not apply,,109.99
,Multicolor,,Solid,Epiphone,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,125.0
,,,Grand Concert,Luna,,,,,China,,Right-Handed,,,,,Does Not Apply,Vista Wolf,,,,,,,,,Right-Handed,,Vista,,,6 String,,,Does not apply,,589.45
,Black,,Solid,Rogue,,,,,,,,,,,,Does Not Apply,Rocketeer,2019,,,,,,,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,29.95
,Black,,Solid,Mitchell,,,,,,No,,,,,,Does Not Apply,MS 400,2019,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,,,67.0
,Green,Basswood,Solid,Cozart,,,Used,,,,,24 fretts,,,,75-SJ,,,,,,,,,,Right-Handed,,,Full Size,,7 String,,,Does not apply,,112.5
,Gray,,Solid,Schecter,,,,,,No,,,,,,Does Not Apply,PT Monster Energy,2019,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,107.82
,Gray,,Solid,Schecter,,,Used,,,No,,,,,,Does Not Apply,V-1 Monster Energy,,,No,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,88.88
,Yellow,,Solid,firefly,,,,,,,,,,,,Does Not Apply,FFDCS,2019,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,89.99
,,,Solid,Gibson,,,Used,,United States,,,,,,,,Les Paul cm,,,No,,,,Gibson Les Paul,,Right-Handed,,,,,6 String,,,,,475.0
,White,Solid Wood,Solid,Guild,,,Used,,United States,,Right-Handed,,,,,,X-88 Flying Star,1984,,,,,,,,Right-Handed,,,,,6 String,,,,,949.0
,Red,,,Fender,,,Used,,,,,,,,,,Telecaster American Standard,2009,,,,,,Fender Telecaster,,,,,,,,,,,,1000.0
,Black,,Solid,Schecter,,,Used,,,,Right-Handed,,,,,1923,Hellraiser Hybrid C-1 FR,,,,,,,,,,,,,,6 String,,,,,742.5
,Brown,,,Epiphone,,,Used,,,,Right-Handed,,,,,Does Not Apply,Tom Delonge,,,,,,,,,Right-Handed,,,,,6 String,,,,,595.0
,antique natural,,Solid,Epiphone,,,,,,,,,,,,,Plus,,,,,,,Epiphone Les Paul,,Right-Handed,,,,,6 String,,,,,175.0
,Dark Space Burst,,Solid,Ibanez,,,,,Indonesia,,Right-Handed,,,,,SIX7FDFMDCB,SIX7FDFM-DCB,RECENT,,,,,,,,Right-Handed,,,Full Size,Archtop,7 String,,,Does not apply,,699.99
,Tobacco,,,Gibson,,,Used,,,,,,,,,,Les Paul,2012,Pickups,Yes,,,,Gibson Les Paul,,Right-Handed,,,Standard,,6 String,,,,,620.0
,Black,,Solid,Charvel by Jackson,,,Used,,,No,,,,,,Does Not Apply,Vintage Super Strat,,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,199.99
,,Koa,,Taylor,,,Used,,,,,,,,,DT51012101000363057,T5C,2006,,No,,,,,,Right-Handed,,Custom,,,6 String,,,Does not apply,,2000.0
,,Whitewood,Parlor,Recording King,,,,,,No,,With Pickup,,,,RPS-7-E Dirty 30's,RPS-7-E Dirty 30's,2019,,No,,,,,,Right-Handed,,Dirty 30's,Parlor,,6 String,,,Does not apply,,26.0
,Black,,Solid,Ibanez,,,Used,,Japan,,,,,,,DT555,DT555,1985,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,2000.0
,Vintage Sunburst,,Solid,Fender Squier,,,Used,,,,,,,,,,Stratocaster HSS,,,,,,,Squier by Fender,,Right-Handed,,,Full Size,,6 String,,,,,195.0
,Natural,Walnut,,Gretsch,,,New,,,,Right-Handed,,,,,2509310521,G5222,2020,,,,,,Gretsch Electromatic,,,,,,,6 String,,,885978415090,,499.99
,Red,Maple,Hollow,FireFly,,,New,,,Include,,,,,,,Similar to ES 335,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,0730440433105,,205.0
,Black,,Solid,Fender,,,Used,,Mexico,No,,"Built-in Effects, Volume Knob, With Pickup",,,,Does Not Apply,Stratocaster,2007,,,,,,Fender Stratocaster,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,349.99
,Blue,,Solid,Epiphone,,,,,China,No,,"Volume Knob, With Pickup",,,,Traditional PRO-III,Les Paul Traditional,2019,,No,,,,Epiphone Les Paul,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,192.5
,,,,fender,,,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or 

																			protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,United States,,Right-Handed,,,,,114312719,american elite telecatser,,,,,,,,,,,,,,,,Electric Guitar,00885978075560,,1079.99
,Sunburst,,,Fender,,,Used,,Mexico,,,Pair of Noiseless pickups,,,,Does Not Apply,,2000-2001,,,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,Does not apply,,374.99
,Sunburst,"Solid Wood, MAH",Semi-Hollow,KING,,,Used,,,No,Right-Handed,,,,,SBGLS,,2019,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,127.5
,,Maple,Solid,Squier,,,,,,No,,,,,,50's TELE,Classic,2019,,No,,,,,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,196.5
,,Walnut,Solid,Mitchell,,,Used,,,No,,,,,,MS100,MS100,2018,,No,,,,,,Right-Handed,,,22.5 Scale,,6 String,,,Does not apply,,31.0
,Red,,Solid,B.C. Rich,,,"Seller refurbished: An item that has been restored to working order by the eBay seller or a third party not approved by 

																			the manufacturer. This means the item has been inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See the seller’s listing for full details.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,,,,,,,,,,,,,,,,,,,,,,6 String,,,,,375.0
,Red,Ash,Solid,Fretlight,,,,,,No,Right-Handed,"Volume Knob, With Pickup",,,,Does Not Apply,FG-621,,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,does not apply,,225.0
,,Alder,Solid,Fender,,,Used,,,,,,,,,0115602303,HSS,,,,,,,,,,,,,,6 String,,,0717669851866,,720.0
,Black Sparkle,Alder,Solid,Gretsch,,,New,China,,,Right-Handed,,,,,2515900506,G5265 Jet Baritone,,,,,,,,,,,Electromatic,,,6 String,,,717669259570,,549.99
,,Alder,Solid,Squier,,,Used,,,,,,,,,0310202503,,,,,,,,,,,,,,,6 String,,,885978102341,,169.0
,,Mahogany,,Epiphone,,,Used,,,,,,,,,EGJRCHNH3,Les Paul Junior,,,,,,,Epiphone Les Paul,,,,,,,6 String,,,0711106325200,,120.0
,Blue,Mahogany,Semi-Hollow,firefly,,,New,,,,,,,,,Does Not Apply,FFTH,2019,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,139.96
,Red,,,,,,Used,,,,,,,,,,Les Paul Studio,2004,,,,,,Gibson Les Paul,,Right-Handed,,,,,6 String,,,0711106004327,,600.0
,Orange,Mahogany,Semi-Hollow,firefly,,,New,,,,,,,,,Does Not Apply,FFTH,2019,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,139.96
,Black,Spruce,Flat Top,Artist,,Black,New,,,Yes,,,,,,LSPSCEQBK,,,,,,,,,,#N/A,,LSP,#N/A,Flat Top,6 String,,Acoustic Guitar,Does not apply,,159.0
