Model,MPN,Body Color,Brand,UPC,Body Material,Body Type,Model Year,Size,Country/Region of Manufacture,String Configuration,Orientation,Product Line,Condition,Price
OTHER,NOT AVAILABLE,OTHER,TAYLOR,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,New,1599.0
OTHER,PROVIDED,OTHER,IBANEZ,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,Manufacturer refurbished,749.0
LES PAUL JUNIOR,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,SOLID,2019.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,599.99
LES PAUL STANDARD,NOT AVAILABLE,OTHER,EPIPHONE,PROVIDED,OTHER,OTHER,2015.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,EPIPHONE LES PAUL,Used,449.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,1325.0
FLYING V,NOT AVAILABLE,BLACK,EPIPHONE,PROVIDED,OTHER,BARITONE,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,600.0
OTHER,NOT AVAILABLE,OTHER,IBANEZ,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,7 STRING,NOT AVAILABLE,IBANEZ PRESTIGE,Used,1250.0
OTHER,NOT AVAILABLE,PURPLE,PRS,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,7 STRING,NOT AVAILABLE,OTHER,Used,550.0
OTHER,NOT AVAILABLE,WHITE,EPIPHONE,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,EPIPHONE LES PAUL,Used,399.0
OTHER,PROVIDED,BLACK,IBANEZ,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,Used,170.5
OTHER,NOT AVAILABLE,BLUE,OTHER,PROVIDED,ROSEWOOD,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,1100.0
OTHER,NOT AVAILABLE,OTHER,GIBSON,NOT AVAILABLE,OTHER,SOLID,2013.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,2499.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,199.99
OTHER,NOT AVAILABLE,RED,IBANEZ,PROVIDED,MAPLE,SOLID,2015.0,FULL SIZE,CHINA,6 STRING,RIGHT-HANDED,OTHER,Used,95.0
VINTAGE,NOT AVAILABLE,WHITE,EPIPHONE,PROVIDED,OTHER,SEMI-HOLLOW,1994.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,640.0
SG,NOT AVAILABLE,WHITE,EPIPHONE,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,GIBSON SG,Used,180.0
OTHER,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,OTHER,2019.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,3695.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SOLID,2001.0,OTHER,UNITED STATES,6 STRING,NOT AVAILABLE,OTHER,Used,1895.0
OTHER,PROVIDED,BLACK,IBANEZ,NOT AVAILABLE,OTHER,SOLID,1985.0,FULL SIZE,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,2000.0
OTHER,NOT AVAILABLE,NATURAL,IBANEZ,PROVIDED,OTHER,SOLID,2019.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,IBANEZ PRESTIGE,Used,499.0
OTHER,PROVIDED,OTHER,YAMAHA,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,123.45
OTHER,NOT AVAILABLE,BLACK,FENDER,PROVIDED,OTHER,OTHER,1996.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,1400.0
OTHER,NOT AVAILABLE,SUNBURST,SQUIER,PROVIDED,OTHER,SOLID,2013.0,OTHER,INDONESIA,6 STRING,RIGHT-HANDED,OTHER,Used,370.0
STRATOCASTER DELUX,NOT AVAILABLE,OTHER,FENDER,PROVIDED,OTHER,OTHER,2015.0,OTHER,MEXICO,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,435.0
OTHER,NOT AVAILABLE,TOBACCO SUNBURST,EPIPHONE,PROVIDED,OTHER,SEMI-HOLLOW,2004.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,255.0
OTHER,PROVIDED,OTHER,FENDER,NOT AVAILABLE,OTHER,SOLID,2008.0,OTHER,MEXICO,6 STRING,RIGHT-HANDED,OTHER,Used,350.0
OTHER,NOT AVAILABLE,BUTTERSCOTCH BLONDE,FENDER,PROVIDED,ASH,SOLID,2017.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,FENDER TELECASTER,Used,485.0
OTHER,NOT AVAILABLE,TOBACCO BURST,OTHER,NOT AVAILABLE,OTHER,SEMI-HOLLOW,2008.0,FULL SIZE,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,1950.0
OTHER,NOT AVAILABLE,SUNBURST,OTHER,PROVIDED,OTHER,HOLLOW,1960.0,OTHER,UNITED STATES,6 STRING,NOT AVAILABLE,OTHER,Used,675.0
